"SYSTEM", "1", "SYSTEM", "System Start", ""
"main", "2", "SYSTEM", "Thread Start", "main (1)"
"main", "3", "SYSTEM", "Type Load", "class=java.lang.Object"
"main", "4", "SYSTEM", "Type Load", "class=ReadersWriters"
"main", "5", "ReadersWriters.java:12", "Method Call", "caller=SYSTEM, target=ReadersWriters#main:1"
"main", "6", "ReadersWriters.java:10", "Method Entered", ""
"main", "7", "ReadersWriters.java:10", "Variable Write", "context=ReadersWriters#main:1, args=java.lang.String[0] (id=21)"
"main", "8", "ReadersWriters.java:12", "Line Step", "file=ReadersWriters.java, line=12"
"main", "9", "SYSTEM", "Type Load", "class=Database"
"main", "10", "ReadersWriters.java:12", "New Object", "object=Database:1"
"main", "11", "ReadersWriters.java:12", "Method Call", "caller=ReadersWriters#main:1, target=Database:1#Database:1"
"main", "12", "ReadersWriters.java:86", "Method Entered", ""
"main", "13", "ReadersWriters.java:85", "Line Step", "file=ReadersWriters.java, line=85"
"main", "14", "ReadersWriters.java:86", "Line Step", "file=ReadersWriters.java, line=86"
"main", "15", "ReadersWriters.java:86", "Field Write", "context=Database:1, data=0"
"main", "16", "ReadersWriters.java:87", "Line Step", "file=ReadersWriters.java, line=87"
"main", "17", "ReadersWriters.java:87", "Field Write", "context=Database:1, r=0"
"main", "18", "ReadersWriters.java:88", "Line Step", "file=ReadersWriters.java, line=88"
"main", "19", "ReadersWriters.java:88", "Field Write", "context=Database:1, w=0"
"main", "20", "ReadersWriters.java:89", "Line Step", "file=ReadersWriters.java, line=89"
"main", "21", "ReadersWriters.java:89", "Field Write", "context=Database:1, ww=0"
"main", "22", "ReadersWriters.java:90", "Line Step", "file=ReadersWriters.java, line=90"
"main", "23", "ReadersWriters.java:90", "Field Write", "context=Database:1, wr=0"
"main", "24", "ReadersWriters.java:91", "Line Step", "file=ReadersWriters.java, line=91"
"main", "25", "ReadersWriters.java:91", "Field Write", "context=Database:1, s1=java.util.concurrent.Semaphore (id=26)"
"main", "26", "ReadersWriters.java:92", "Line Step", "file=ReadersWriters.java, line=92"
"main", "27", "ReadersWriters.java:92", "Field Write", "context=Database:1, s2_r=java.util.concurrent.Semaphore (id=28)"
"main", "28", "ReadersWriters.java:93", "Line Step", "file=ReadersWriters.java, line=93"
"main", "29", "ReadersWriters.java:93", "Field Write", "context=Database:1, s2_w=java.util.concurrent.Semaphore (id=29)"
"main", "30", "ReadersWriters.java:85", "Line Step", "file=ReadersWriters.java, line=85"
"main", "31", "ReadersWriters.java:85", "Method Exit", "returner=Database:1#Database:1, value=<void>"
"main", "32", "ReadersWriters.java:12", "Method Returned", ""
"main", "33", "ReadersWriters.java:12", "Line Step", "file=ReadersWriters.java, line=12"
"main", "34", "ReadersWriters.java:12", "Variable Write", "context=ReadersWriters#main:1, d=Database:1"
"main", "35", "ReadersWriters.java:14", "Line Step", "file=ReadersWriters.java, line=14"
"main", "36", "SYSTEM", "Type Load", "class=java.lang.Thread"
"main", "37", "SYSTEM", "Type Load", "class=Writer"
"main", "38", "ReadersWriters.java:14", "New Object", "object=Writer:1"
"main", "39", "ReadersWriters.java:14", "Method Call", "caller=ReadersWriters#main:1, target=Writer:1#Writer:1"
"main", "40", "ReadersWriters.java:69", "Method Entered", ""
"main", "41", "ReadersWriters.java:69", "Variable Write", "context=Writer:1#Writer:1, d=Database:1"
"main", "42", "ReadersWriters.java:69", "Variable Write", "context=Writer:1#Writer:1, x=1"
"main", "43", "ReadersWriters.java:69", "Line Step", "file=ReadersWriters.java, line=69"
"main", "44", "ReadersWriters.java:70", "Line Step", "file=ReadersWriters.java, line=70"
"main", "45", "ReadersWriters.java:70", "Field Write", "context=Writer:1, d=Database:1"
"main", "46", "ReadersWriters.java:71", "Line Step", "file=ReadersWriters.java, line=71"
"main", "47", "ReadersWriters.java:71", "Field Write", "context=Writer:1, x=1"
"main", "48", "ReadersWriters.java:72", "Line Step", "file=ReadersWriters.java, line=72"
"main", "49", "ReadersWriters.java:72", "Method Exit", "returner=Writer:1#Writer:1, value=<void>"
"main", "50", "ReadersWriters.java:14", "Method Returned", ""
"main", "51", "ReadersWriters.java:14", "Line Step", "file=ReadersWriters.java, line=14"
"main", "52", "ReadersWriters.java:14", "Variable Write", "context=ReadersWriters#main:1, w1=Writer:1"
"main", "53", "ReadersWriters.java:15", "Line Step", "file=ReadersWriters.java, line=15"
"main", "54", "ReadersWriters.java:15", "New Object", "object=Writer:2"
"main", "55", "ReadersWriters.java:15", "Method Call", "caller=ReadersWriters#main:1, target=Writer:2#Writer:2"
"main", "56", "ReadersWriters.java:69", "Method Entered", ""
"main", "57", "ReadersWriters.java:69", "Variable Write", "context=Writer:2#Writer:2, d=Database:1"
"main", "58", "ReadersWriters.java:69", "Variable Write", "context=Writer:2#Writer:2, x=10"
"main", "59", "ReadersWriters.java:69", "Line Step", "file=ReadersWriters.java, line=69"
"main", "60", "ReadersWriters.java:70", "Line Step", "file=ReadersWriters.java, line=70"
"main", "61", "ReadersWriters.java:70", "Field Write", "context=Writer:2, d=Database:1"
"main", "62", "ReadersWriters.java:71", "Line Step", "file=ReadersWriters.java, line=71"
"main", "63", "ReadersWriters.java:71", "Field Write", "context=Writer:2, x=10"
"main", "64", "ReadersWriters.java:72", "Line Step", "file=ReadersWriters.java, line=72"
"main", "65", "ReadersWriters.java:72", "Method Exit", "returner=Writer:2#Writer:2, value=<void>"
"main", "66", "ReadersWriters.java:15", "Method Returned", ""
"main", "67", "ReadersWriters.java:15", "Line Step", "file=ReadersWriters.java, line=15"
"main", "68", "ReadersWriters.java:15", "Variable Write", "context=ReadersWriters#main:1, w2=Writer:2"
"main", "69", "ReadersWriters.java:16", "Line Step", "file=ReadersWriters.java, line=16"
"main", "70", "ReadersWriters.java:16", "New Object", "object=Writer:3"
"main", "71", "ReadersWriters.java:16", "Method Call", "caller=ReadersWriters#main:1, target=Writer:3#Writer:3"
"main", "72", "ReadersWriters.java:69", "Method Entered", ""
"main", "73", "ReadersWriters.java:69", "Variable Write", "context=Writer:3#Writer:3, d=Database:1"
"main", "74", "ReadersWriters.java:69", "Variable Write", "context=Writer:3#Writer:3, x=100"
"main", "75", "ReadersWriters.java:69", "Line Step", "file=ReadersWriters.java, line=69"
"main", "76", "ReadersWriters.java:70", "Line Step", "file=ReadersWriters.java, line=70"
"main", "77", "ReadersWriters.java:70", "Field Write", "context=Writer:3, d=Database:1"
"main", "78", "ReadersWriters.java:71", "Line Step", "file=ReadersWriters.java, line=71"
"main", "79", "ReadersWriters.java:71", "Field Write", "context=Writer:3, x=100"
"main", "80", "ReadersWriters.java:72", "Line Step", "file=ReadersWriters.java, line=72"
"main", "81", "ReadersWriters.java:72", "Method Exit", "returner=Writer:3#Writer:3, value=<void>"
"main", "82", "ReadersWriters.java:16", "Method Returned", ""
"main", "83", "ReadersWriters.java:16", "Line Step", "file=ReadersWriters.java, line=16"
"main", "84", "ReadersWriters.java:16", "Variable Write", "context=ReadersWriters#main:1, w3=Writer:3"
"main", "85", "ReadersWriters.java:17", "Line Step", "file=ReadersWriters.java, line=17"
"main", "86", "ReadersWriters.java:17", "New Object", "object=Writer:4"
"main", "87", "ReadersWriters.java:17", "Method Call", "caller=ReadersWriters#main:1, target=Writer:4#Writer:4"
"main", "88", "ReadersWriters.java:69", "Method Entered", ""
"main", "89", "ReadersWriters.java:69", "Variable Write", "context=Writer:4#Writer:4, d=Database:1"
"main", "90", "ReadersWriters.java:69", "Variable Write", "context=Writer:4#Writer:4, x=1000"
"main", "91", "ReadersWriters.java:69", "Line Step", "file=ReadersWriters.java, line=69"
"main", "92", "ReadersWriters.java:70", "Line Step", "file=ReadersWriters.java, line=70"
"main", "93", "ReadersWriters.java:70", "Field Write", "context=Writer:4, d=Database:1"
"main", "94", "ReadersWriters.java:71", "Line Step", "file=ReadersWriters.java, line=71"
"main", "95", "ReadersWriters.java:71", "Field Write", "context=Writer:4, x=1000"
"main", "96", "ReadersWriters.java:72", "Line Step", "file=ReadersWriters.java, line=72"
"main", "97", "ReadersWriters.java:72", "Method Exit", "returner=Writer:4#Writer:4, value=<void>"
"main", "98", "ReadersWriters.java:17", "Method Returned", ""
"main", "99", "ReadersWriters.java:17", "Line Step", "file=ReadersWriters.java, line=17"
"main", "100", "ReadersWriters.java:17", "Variable Write", "context=ReadersWriters#main:1, w4=Writer:4"
"main", "101", "ReadersWriters.java:18", "Line Step", "file=ReadersWriters.java, line=18"
"main", "102", "ReadersWriters.java:18", "New Object", "object=Writer:5"
"main", "103", "ReadersWriters.java:18", "Method Call", "caller=ReadersWriters#main:1, target=Writer:5#Writer:5"
"main", "104", "ReadersWriters.java:69", "Method Entered", ""
"main", "105", "ReadersWriters.java:69", "Variable Write", "context=Writer:5#Writer:5, d=Database:1"
"main", "106", "ReadersWriters.java:69", "Variable Write", "context=Writer:5#Writer:5, x=10000"
"main", "107", "ReadersWriters.java:69", "Line Step", "file=ReadersWriters.java, line=69"
"main", "108", "ReadersWriters.java:70", "Line Step", "file=ReadersWriters.java, line=70"
"main", "109", "ReadersWriters.java:70", "Field Write", "context=Writer:5, d=Database:1"
